config,seed,params,met_pt_resolution,met_x_resolution,met_y_resolution,mean_response,phi_resolution,auc
deepmet_emb_w64_d3,42,10083,44.6846289066835,43.393425,43.30842,1.0553418982673661,1.16879714298027,0.9738739774366023
deepmet_emb_w64_d3,123,10083,44.23682441044086,42.8142,42.85089,1.0412790592651842,1.1621837969400213,0.9735040883161536
deepmet_emb_w64_d3,456,10083,44.45691488413384,42.361473,42.391285,1.0286154434928851,1.169756634235382,0.9752899213852421
deepmet_emb_w32_d3,42,3011,44.326616432858536,42.492863,42.52263,1.0315315769340336,1.1619999897480011,0.9740168634565048
deepmet_emb_w32_d3,123,3011,44.67097326014081,87.23136,87.78249,1.039818695738251,2.8142753452257074,0.9760577924707301
deepmet_emb_w32_d3,456,3011,44.269980277233785,43.345856,43.25173,1.0552814375979325,1.1688589802384375,0.9726096379768759
wm1_noemb_w64_d3,42,9537,46.54454607462603,42.68793,42.737503,0.99434489701707,1.1682740608052171,0.9767693164139065
wm1_noemb_w64_d3,123,9537,43.85565071794258,42.470203,42.628296,1.030866398229138,1.1638439683892057,0.9737196282444814
wm1_noemb_w64_d3,456,9537,43.795084011663086,42.52169,42.37088,1.023994661798796,1.167800594968371,0.9750370857839228
wm1_bias_noemb_w64_d3,42,9667,44.370590381783266,86.66192,86.84357,1.0210211955035013,2.8179291298985483,0.9743325043253295
wm1_bias_noemb_w64_d3,123,9667,44.25774965070622,42.474976,42.518417,1.0309015768646497,1.1597393324971197,0.9732486694647571
wm1_bias_noemb_w64_d3,456,9667,44.06036094661259,41.97948,42.090805,1.0170755606986375,1.1724648916721343,0.9732154101200114
broken_noemb_w64_d3,42,9537,46.51455743181103,45.3867,45.018776,1.0356054027063322,1.1855277314782142,0.974110829178068
broken_noemb_w64_d3,123,9537,47.698768456484856,43.824318,43.490135,0.9832301488441916,1.1920931696891783,0.9768179138059863
broken_noemb_w64_d3,456,9537,46.4767226242038,89.188644,89.85892,1.0131601576517153,2.8145424973139406,0.9723905460796921
