config_name,width,depth,mode,activation,use_embeddings,binned_weight,param_count,best_epoch,epochs_trained,val_loss,val_mae,val_mse,val_binned_deviation,train_time_s,status
noemb_w32_d2_m1_relu_bw200,32,2,1,relu,False,200.0,1537,6,16,14.296935081481934,0.8206376433372498,1.443143606185913,0.060360416769981384,196.6702733039856,ok
noemb_w32_d3_m1_relu_bw200,32,3,1,relu,False,200.0,2721,11,21,12.024116516113281,0.3538617491722107,0.22348348796367645,0.05733639374375343,368.9934151172638,ok
noemb_w32_d4_m1_relu_bw200,32,4,1,relu,False,200.0,3905,22,30,13.197147369384766,0.374037504196167,0.2506340444087982,0.06292395293712616,703.1303408145905,ok
noemb_w64_d2_m0_relu_bw200,64,2,0,relu,False,200.0,5186,29,30,19.68404197692871,0.532273530960083,0.6178341507911682,0.09284932911396027,681.0489518642426,ok
noemb_w64_d2_m1_relu_bw200,64,2,1,relu,False,200.0,5121,9,19,12.06564712524414,0.36934393644332886,0.24376477301120758,0.05737532675266266,431.95328974723816,ok
noemb_w64_d3_m0_relu_bw200,64,3,0,relu,False,200.0,9602,4,14,28.793075561523438,0.7295147776603699,1.3177740573883057,0.13401958346366882,471.70939683914185,ok
noemb_w64_d3_m1_relu_bw200,64,3,1,relu,False,200.0,9537,12,22,13.862343788146973,0.8193135857582092,1.4328813552856445,0.05817461758852005,728.8568108081818,ok
noemb_w64_d4_m0_relu_bw200,64,4,0,relu,False,200.0,14018,23,30,14.362421989440918,0.5965476036071777,0.7519463300704956,0.06519940495491028,1241.5338168144226,ok
noemb_w64_d4_m1_relu_bw200,64,4,1,relu,False,200.0,13953,16,26,14.120012283325195,0.8178939819335938,1.4225468635559082,0.05956508219242096,1110.8266787528992,ok
emb_w32_d2_m0_relu_bw200,32,2,0,relu,True,200.0,1794,28,30,26.171579360961914,0.7667689919471741,1.2988672256469727,0.12097758054733276,427.436998128891,ok
emb_w32_d2_m1_relu_bw200,32,2,1,relu,True,200.0,1761,6,16,14.333684921264648,0.8285449147224426,1.4596747159957886,0.060371819883584976,239.23509168624878,ok
emb_w32_d3_m0_relu_bw200,32,3,0,relu,True,200.0,2978,19,29,25.66618537902832,0.7467644810676575,1.2649469375610352,0.11869347840547562,580.0704090595245,ok
emb_w32_d3_m1_relu_bw200,32,3,1,relu,True,200.0,2945,8,18,13.982416152954102,0.8062566518783569,1.3932592868804932,0.059041593223810196,380.84925293922424,ok
emb_w32_d4_m0_relu_bw200,32,4,0,relu,True,200.0,4162,28,30,15.687639236450195,0.5831762552261353,0.7133491039276123,0.07215053588151932,765.3501732349396,ok
emb_w32_d4_m1_relu_bw200,32,4,1,relu,True,200.0,4129,13,23,12.363852500915527,0.37913134694099426,0.2630164623260498,0.058762624859809875,590.6137790679932,ok
emb_w64_d2_m0_relu_bw200,64,2,0,relu,True,200.0,5602,27,30,26.597301483154297,0.7295576333999634,1.2349529266357422,0.12350533902645111,665.7825891971588,ok
emb_w64_d2_m1_relu_bw200,64,2,1,relu,True,200.0,5537,1,11,14.63275146484375,0.8215956687927246,1.4174683094024658,0.062070440500974655,261.589679479599,ok
emb_w64_d3_m0_relu_bw200,64,3,0,relu,True,200.0,10018,6,16,27.269737243652344,0.7191242575645447,1.1255428791046143,0.1276143491268158,533.4094672203064,ok
emb_w64_d3_m1_relu_bw200,64,3,1,relu,True,200.0,9953,14,24,14.094103813171387,0.8120147585868835,1.3944422006607056,0.059557873755693436,801.4540619850159,ok
emb_w64_d4_m0_relu_bw200,64,4,0,relu,True,200.0,14434,14,24,26.948450088500977,0.7362830638885498,1.1829530000686646,0.12545575201511383,1111.3141355514526,ok
emb_w64_d4_m1_relu_bw200,64,4,1,relu,True,200.0,14369,9,19,12.762411117553711,0.38488900661468506,0.2659647762775421,0.06073899194598198,873.3845045566559,ok
emb_w64_d2_m1_elu_bw200,64,2,1,elu,True,200.0,5537,5,15,14.246527671813965,0.8221187591552734,1.46550714969635,0.059971023350954056,356.8257496356964,ok
emb_w64_d4_m1_elu_bw200,64,4,1,elu,True,200.0,14369,10,20,13.731703758239746,0.8120392560958862,1.4038364887237549,0.057703033089637756,906.1261088848114,ok
emb_w64_d2_m1_relu_bw100,64,2,1,relu,True,100.0,5537,17,27,8.039767265319824,0.808580219745636,1.395585298538208,0.058461591601371765,634.6035206317902,ok
emb_w64_d4_m1_relu_bw100,64,4,1,relu,True,100.0,14369,19,29,6.525158405303955,0.3826596140861511,0.26564255356788635,0.058917734771966934,1319.6851353645325,ok
