n_train,variant,test_mae_xy_mean,test_mae_xy_std,test_mae_xy_count,test_mse_xy_mean,test_mse_xy_std,test_mse_xy_count,test_iqr2_x_mean,test_iqr2_x_std,test_iqr2_x_count,test_iqr2_y_mean,test_iqr2_y_std,test_iqr2_y_count,test_met_pt_iqr2_mean,test_met_pt_iqr2_std,test_met_pt_iqr2_count,mae_0_50_mean,mae_0_50_std,mae_0_50_count,mae_50_100_mean,mae_50_100_std,mae_50_100_count,mae_100_200_mean,mae_100_200_std,mae_100_200_count,mae_200_300_mean,mae_200_300_std,mae_200_300_count,mae_300_400_mean,mae_300_400_std,mae_300_400_count,mae_400_inf_mean,mae_400_inf_std,mae_400_inf_count
400,baseline,20.512753168741863,0.21655389664005517,3,929.9083048502604,27.790794537249013,3,13.521182735761007,0.4461725625138465,3,12.520779252052307,0.695996345271718,3,18.31962724526723,1.2412087887663006,3,13.460912068684896,0.9939928539536839,3,32.98570887247721,0.8647949624760005,3,45.97670110066732,4.630564816800327,3,68.15679550170898,4.862774201568339,3,89.46407572428386,1.7948851361164624,3,,,0
800,baseline,20.4748961130778,0.2002179995529261,3,944.9311726888021,45.50515238401002,3,12.669882218043009,0.44698450532954825,3,12.39789084593455,0.4675233917722172,3,18.20764497915904,0.1468567269355581,3,13.296381950378418,0.6074984619448959,3,33.051031748453774,0.6659900879003268,3,46.20498021443685,3.2318486380502165,3,68.59390131632487,16.97480148397554,3,103.31825510660808,3.522909411026792,3,,,0
2000,baseline,19.922165552775066,0.07032591587913507,3,887.3868815104166,22.930663900068165,3,12.62665887673696,0.4114002152273186,3,12.442060152689615,0.4111313937956195,3,18.282357295354206,0.13707898893041973,3,12.743401209513346,0.623361345305294,3,32.78542709350586,0.7034124402874147,3,45.874186197916664,2.249429456905179,3,63.49788157145182,4.612735665063571,3,92.52517700195312,5.11382372695134,3,,,0
4000,baseline,19.707509994506836,0.07715575972931317,3,851.6706136067709,12.363622472422373,3,12.756315469741821,0.41254717715568917,3,12.394691507021586,0.14644946263840036,3,17.737253665924072,0.49565342030591336,3,13.080836296081543,0.4825317191025968,3,32.00160153706869,0.3791996761275581,3,43.168601989746094,2.021480556714211,3,57.05109786987305,5.004737247833243,3,87.74127705891927,6.681896834749237,3,,,0
7328,baseline,19.521404266357422,0.06438642543018663,3,838.9726155598959,5.725128960215464,3,12.552365938822428,0.15946035544494186,3,12.20307970046997,0.36620588801727066,3,17.528034965197246,0.36708583638467335,3,12.870724360148111,0.0999810476476248,3,31.863637924194336,0.2059431059157677,3,43.0821533203125,0.7026586358831136,3,57.132378896077476,1.8343701909151213,3,86.87120819091797,6.425872453875524,3,,,0
400,extended,21.01875114440918,0.19779791411284825,3,974.8547159830729,20.627755790563423,3,13.518627405166626,0.1352422425879247,3,13.42979641755422,1.4115968878713123,3,18.091460585594177,0.5121339877779666,3,14.284323374430338,0.3052152945155918,3,33.79020690917969,1.0073984066171884,3,43.8878173828125,1.24469915433931,3,66.93545659383138,7.426184923946377,3,87.41388702392578,11.108356226453125,3,,,0
800,extended,20.65039571126302,0.26972151892617924,3,981.2190551757812,49.31064682825462,3,12.623761534690857,0.3356941567094502,3,12.622531453768412,0.3849507976040966,3,18.347027103106182,0.40126854197757733,3,13.508541107177734,0.5241123923409853,3,33.40564727783203,0.5898380034650139,3,46.27345403035482,4.659856573529311,3,70.23913828531902,9.10990824361333,3,86.32397333780925,30.687237923375523,3,,,0
2000,extended,20.304779052734375,0.18745462286948952,3,916.8193155924479,41.45865844332716,3,12.372403184572855,0.3913330264073887,3,12.595341881116232,0.885252201503548,3,17.791866024335224,0.4671011159664106,3,13.419684410095215,0.5795412578740898,3,33.72161610921224,0.8578360580847296,3,44.40170160929362,3.122376213986581,3,58.89980697631836,8.766871859938396,3,68.1985371907552,5.3512482196606035,3,,,0
4000,extended,20.05283482869466,0.24065305650620059,3,926.0882568359375,48.26297985148252,3,11.834580898284912,0.5999866029767186,3,12.312551538149515,0.6100931717670626,3,17.466552535692852,0.46701161168533806,3,13.258414586385092,0.5462407346024476,3,32.51855023701986,1.1046034656639088,3,44.36128616333008,3.98207671074297,3,64.62919235229492,8.949198599665012,3,74.336119333903,11.896888246182947,3,,,0
7328,extended,19.597418467203777,0.05788018647428808,3,865.5639851888021,6.509934757739246,3,12.321428894996643,0.5233287019992819,3,12.35743017991384,0.3835493214894391,3,17.121954639752705,0.7951437571574284,3,13.0577974319458,0.6001972570250741,3,31.99087905883789,0.8116946839197648,3,42.46369171142578,2.332058770432175,3,58.96232986450195,3.165177610004597,3,76.70062764485677,7.61307776283523,3,,,0
